V_nominal,prop_speed_hz,test_block,alpha_nominal_deg,delta_e_trim_deg,delta_e_data_min_deg,delta_e_data_max_deg,trim_within_data_range,cl_trim,cd_trim,ld_trim,beta_mean_deg,j_nominal,j_measured_mean,n_elevator_levels,sample_count,r_squared_cm_fit
20.0,27.6,BRK/BRK/CAL,-2,2.014431105649557,-10.0,10.0,True,0.02174796010965119,0.06268021224753442,0.34696691874247226,0.0,3.5661303206664385,3.587824280117159,3,4,0.9999424567853465
20.0,27.6,BRK/BRK/CAL,0,-0.16220853154488132,-10.0,10.0,True,0.20544024669214173,0.0639456769216772,3.2127308143718896,0.0,3.5661303206664385,3.586338392483549,3,4,0.9995302270825626
20.0,27.6,BRK/BRK/CAL,4,-4.370701814770572,-10.0,10.0,True,0.5756803793538633,0.07550379384570736,7.624522557505799,0.0,3.5661303206664385,3.5854468599033815,3,4,0.9999764674451268
20.0,27.6,BRK/BRK/CAL,8,-10.206486076086664,-10.0,10.0,True,0.867578345399821,0.09634004396133299,9.005376266467472,0.0,3.5661303206664385,3.586635570010271,3,4,0.9999516868415533
20.0,27.6,BRK/BRK/CAL,12,-17.53523957460434,-10.0,10.0,False,1.035129950742944,0.14291272847984413,7.243091372990858,0.0,3.5661303206664385,3.5851496823766595,3,4,0.997030294393162
20.0,,FREE,-2,1.3454912469982248,-10.0,10.0,True,0.01024579403473358,0.019184239759161944,0.5340734980045497,0.0,,,2,2,1.0
20.0,,FREE,0,-0.9379416447521416,-10.0,10.0,True,0.1971241811123634,0.020667703196837157,9.537788463235234,0.0,,,2,2,1.0
20.0,,FREE,4,-5.417301793409739,-10.0,10.0,True,0.5718237998456879,0.03299496113965262,17.330640197617406,0.0,,,2,2,1.0
20.0,,FREE,8,-11.340978937111165,-10.0,10.0,False,0.871257611873173,0.052102376958249014,16.722031944364733,0.0,,,2,2,1.0
20.0,,FREE,12,-18.012338329996222,-10.0,10.0,False,1.0509767898695819,0.09419834401212185,11.15706226995177,0.0,,,2,2,1.0
40.0,39.4,BRK/CAL,-2,2.4309642071107036,-10.0,10.0,True,0.025605726330347828,0.0676363957365037,0.3785791074690323,0.0,4.996202885806787,5.021600250476305,3,3,0.9997359991241156
40.0,39.4,BRK/CAL,0,-0.009969552447929525,-10.0,10.0,True,0.2120539258480856,0.06878923129361679,3.0826616588134903,0.0,4.996202885806787,5.020351199754853,3,3,0.9999188761568973
40.0,39.4,BRK/CAL,4,-4.446689622466446,-10.0,10.0,True,0.5759161240437946,0.07829858824580575,7.355383244405366,0.0,4.996202885806787,5.01577134710953,3,3,0.9994294941736549
40.0,39.4,BRK/CAL,8,-10.543287616090172,-10.0,10.0,False,0.8710899414876796,0.09965783502257111,8.740807396532244,0.0,4.996202885806787,5.018269448552434,3,3,0.9998547705379832
40.0,39.4,BRK/CAL,12,-17.13533460203128,-10.0,10.0,False,0.9996128472719584,0.14429996079314084,6.927325841099425,0.0,4.996202885806787,5.0232656514382406,3,3,0.9994358547864276
40.0,55.1,BRK,-2,2.660704976540884,-10.0,10.0,True,0.024455371536271427,0.06567946826001524,0.3723442376155704,0.0,3.572602426511568,3.590465438644126,2,2,1.0
40.0,55.1,BRK,0,0.12411600464670694,-10.0,10.0,True,0.2110286546966393,0.06669284478366318,3.164187333456378,0.0,3.572602426511568,3.590018863340812,2,2,1.0
40.0,55.1,BRK,4,-4.700911626358076,-10.0,10.0,True,0.5762260625234151,0.07623611488989719,7.558439505418404,0.0,3.572602426511568,3.5931448904640098,2,2,1.0
40.0,55.1,BRK,8,-10.851340796667538,-10.0,10.0,False,0.8730810205675605,0.0977647969278834,8.930423301667494,0.0,3.572602426511568,3.590018863340812,2,2,1.0
40.0,55.1,BRK,12,-17.415554125784144,-10.0,10.0,False,1.002975488579701,0.13960422195190608,7.184420890402785,0.0,3.572602426511568,3.590465438644126,2,2,1.0
40.0,78.7,CAL/ZERO,-2,2.486127547666009,-10.0,10.0,True,0.018744440499671278,0.04984723322156476,0.3760377314494983,0.0,2.5012756505817966,2.5162833044852877,3,3,0.9997044109582964
40.0,78.7,CAL/ZERO,0,-0.10932471581595436,-10.0,10.0,True,0.20793360162715865,0.051375335046131815,4.0473429796700575,0.0,2.5012756505817966,2.517950821585675,3,3,0.999927061443809
40.0,78.7,CAL/ZERO,4,-4.894551242470399,-10.0,10.0,True,0.5757406461394916,0.061599840989859905,9.346463187044032,0.0,2.5012756505817966,2.5146157873848995,3,3,0.9993681510253145
40.0,78.7,CAL/REPLICATE/ZERO,8,-11.416732976336412,-10.0,10.0,False,0.8780868187129471,0.07998758357168972,10.977789045545457,0.0,2.5012756505817966,2.51315670992206,3,5,0.9994611837759038
40.0,78.7,CAL/ZERO,12,-17.66651948833132,-10.0,10.0,False,1.0124194908909407,0.11707690517875768,8.647473977426532,0.0,2.5012756505817966,2.5137820288347057,3,3,0.9990275045025889
40.0,123.0,MANDATORY,8,-13.228079430272428,-10.0,0.0,False,0.8836564188552694,-0.013209710388484869,-66.8944581575057,0.0,1.6004097048844503,1.6084117534088727,2,2,1.0
40.0,,FREE,-2,1.8268713709994135,-10.0,10.0,True,0.01597694599019981,0.025533592669796445,0.6257225999026317,0.0,,,3,3,0.9988267210410726
40.0,,FREE,0,-0.6445753559155616,-10.0,10.0,True,0.20576954344624446,0.026564346784486995,7.746079552251946,0.0,,,3,3,0.9963020366357347
40.0,,FREE,4,-5.150663220060756,-10.0,10.0,True,0.5737389957043215,0.036383284344987644,15.769301920742151,0.0,,,3,3,0.9847250849721507
40.0,,FREE,8,-11.532438253588039,-10.0,10.0,False,0.8775237712782733,0.0562741416695183,15.593730001813546,0.0,,,3,3,0.9748493341005952
40.0,,FREE,12,-17.293645236770143,-10.0,10.0,False,1.0099746509637773,0.09716036655236589,10.394924255657658,0.0,,,3,3,0.9447405594329599
